,team,games,errors,pick_offs,putouts,assists,double_plays,fielding_pct,passed_balls,stolen_bases,caught_stealing,cs_percent,year,win,lose,draw,win_rate,rank,errors_per_game,pick_offs_per_game,putouts_per_game,assists_per_game,double_plays_per_game,passed_balls_per_game,predicted_win_rate,residual
80,Doosan Bears,133,81,9,3566,1463,132,0.984,6,96,71,42.5,2011,61,70,2,0.466,5,0.6090225563909775,0.06766917293233082,26.81203007518797,11.0,0.9924812030075187,0.045112781954887216,0.5278459068703203,-0.061845906870320266
81,Hanwha Eagles,133,82,4,3525,1284,104,0.983,6,136,36,20.9,2011,59,72,2,0.45,7,0.6165413533834586,0.03007518796992481,26.50375939849624,9.654135338345865,0.7819548872180451,0.045112781954887216,0.46726618339584824,-0.017266183395848234
82,Kia Tigers,133,67,8,3491,1400,126,0.986,5,120,48,28.6,2011,70,63,0,0.526,4,0.5037593984962406,0.06015037593984962,26.24812030075188,10.526315789473685,0.9473684210526315,0.03759398496240601,0.4170293395389697,0.10897066046103032
83,LG Twins,133,97,11,3581,1417,131,0.981,20,110,51,31.7,2011,59,72,2,0.45,6,0.7293233082706767,0.08270676691729323,26.924812030075188,10.654135338345865,0.9849624060150376,0.15037593984962405,0.55000922033659,-0.10000922033659004
84,Lotte Giants,133,106,10,3561,1576,165,0.98,7,88,60,40.5,2011,72,56,5,0.563,2,0.7969924812030075,0.07518796992481203,26.774436090225564,11.849624060150376,1.2406015037593985,0.05263157894736842,0.5204581357148967,0.042541864285103204
85,Heroes,133,96,8,3514,1495,142,0.981,14,175,68,28.0,2011,51,80,2,0.389,8,0.7218045112781954,0.06015037593984962,26.42105263157895,11.240601503759398,1.0676691729323309,0.10526315789473684,0.4510130868539175,-0.06201308685391749
86,Incheon,133,68,5,3577,1378,124,0.986,6,93,64,40.8,2011,71,59,3,0.546,3,0.5112781954887218,0.03759398496240601,26.894736842105264,10.360902255639099,0.9323308270676691,0.045112781954887216,0.5440990034122519,0.001900996587748116
87,Samsung Lions,133,75,5,3589,1298,115,0.985,6,91,50,35.5,2011,79,50,4,0.612,1,0.5639097744360902,0.03759398496240601,26.984962406015036,9.759398496240602,0.8646616541353384,0.045112781954887216,0.5618296541852672,0.050170345814732786
88,Doosan Bears,133,78,11,3580,1472,124,0.985,12,101,68,40.2,2012,68,62,3,0.523,3,0.5864661654135338,0.08270676691729323,26.917293233082706,11.06766917293233,0.9323308270676691,0.09022556390977443,0.5485316661055055,-0.0255316661055055
89,Hanwha Eagles,133,73,3,3517,1428,104,0.985,9,165,60,26.7,2012,53,77,3,0.408,8,0.5488721804511278,0.022556390977443608,26.44360902255639,10.736842105263158,0.7819548872180451,0.06766917293233082,0.4554457495471711,-0.04744574954717112
90,Kia Tigers,133,88,7,3551,1498,122,0.983,7,107,49,31.4,2012,62,65,6,0.488,5,0.6616541353383458,0.05263157894736842,26.69924812030075,11.263157894736842,0.9172932330827067,0.05263157894736842,0.5056825934040496,-0.01768259340404965
91,LG Twins,133,96,12,3606,1558,125,0.982,8,126,65,34.0,2012,57,72,4,0.442,7,0.7218045112781954,0.09022556390977443,27.112781954887218,11.714285714285714,0.9398496240601504,0.06015037593984962,0.5869480761137069,-0.14494807611370691
92,Lotte Giants,133,83,8,3571,1469,119,0.984,4,109,61,35.9,2012,65,62,6,0.512,4,0.6240601503759399,0.06015037593984962,26.849624060150376,11.045112781954888,0.8947368421052632,0.03007518796992481,0.535233678025743,-0.023233678025742943
93,Heroes,133,78,12,3562,1510,145,0.985,7,170,54,24.1,2012,61,69,3,0.469,6,0.5864661654135338,0.09022556390977443,26.781954887218046,11.353383458646617,1.0902255639097744,0.05263157894736842,0.5219356899459813,-0.0529356899459813
94,Incheon,133,63,9,3544,1414,143,0.987,6,95,54,36.2,2012,71,59,3,0.546,2,0.47368421052631576,0.06766917293233082,26.646616541353385,10.631578947368421,1.0751879699248121,0.045112781954887216,0.4953397137864579,0.05066028621354213
95,Samsung Lions,133,67,13,3563,1337,105,0.987,7,122,49,28.7,2012,80,51,2,0.611,1,0.5037593984962406,0.09774436090225563,26.789473684210527,10.052631578947368,0.7894736842105263,0.05263157894736842,0.5234132441770658,0.08758675582293418
96,Doosan Bears,128,61,6,3451,1372,133,0.988,8,114,59,34.1,2013,71,54,3,0.568,4,0.4765625,0.046875,26.9609375,10.71875,1.0390625,0.0625,0.5571084066812544,0.010891593318745563
97,Lotte Giants,128,98,26,3448,1449,114,0.98,2,113,66,36.9,2013,66,58,4,0.532,5,0.765625,0.203125,26.9375,11.3203125,0.890625,0.015625,0.5525025931015453,-0.02050259310154523
98,Samsung Lions,128,76,12,3440,1226,113,0.984,8,128,46,26.4,2013,75,51,2,0.595,1,0.59375,0.09375,26.875,9.578125,0.8828125,0.0625,0.5402204235556542,0.05477957644434572
